model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Creta,SUV,Manual,2,7699,Hyundai,2020,19.18624891,Diesel,55037,1445000,Chennai,4
Santro,Hatchback,Manual,1,6666,Hyundai,2018,20.3,Petrol,65607,451000,Chennai,6
Ertiga,MUV,Manual,1,8869,Maruti,2021,19.18624891,Cng,70000,1100000,Chennai,3
i20,Hatchback,Manual,1,1483,Hyundai,2016,18.6,Petrol,74777,631000,Chennai,8
Etios,Sedan,Manual,2,2190,Toyota,2012,17.6,Petrol,102392,411000,Chennai,12
Rapid,Sedan,Manual,1,3132,Skoda,2015,21.14,Diesel,90210,500000,Chennai,9
Swift,Sedan,Manual,1,10244,Maruti,2014,22.41,Petrol,62373,488000,Chennai,10
Zest,Sedan,Manual,1,3013,Tata,2015,22.95,Diesel,80000,459999,Chennai,9
Celerio,Hatchback,Automatic,2,10360,Maruti,2018,26,Petrol,25219,513999,Chennai,6
Swift,Hatchback,Manual,3,4164,Maruti,2014,25.2,Diesel,64409,508000,Chennai,10
Nexon,SUV,Manual,1,5998,Tata,2018,21.5,Diesel,52000,865000,Chennai,6
Ciaz,Sedan,Automatic,2,6555,Maruti,2018,20.28,Petrol,30000,855000,Chennai,6
S-Class,Sedan,Automatic,1,6284,Mercedes-Benz,2020,13.5,Diesel,14000,11800000,Chennai,4
Venue,SUV,Manual,1,6943,Hyundai,2019,23.7,Diesel,48574,925000,Chennai,5
City,Sedan,Automatic,1,1246,Honda,2012,16.8,Petrol,71423,509999,Chennai,12
E-Class,Sedan,Automatic,1,7061,Mercedes-Benz,2020,16.1,Diesel,30000,5700000,Chennai,4
Wagon,Hatchback,Manual,1,4350,Maruti,2013,18.9,Petrol,75498,350000,Chennai,11
City,Sedan,Manual,1,1212,Honda,2017,17.8,Petrol,95963,630000,Chennai,7
Wagon,Hatchback,Manual,1,4310,Maruti,2015,20.51,Petrol,46613,409999,Chennai,9
WR-V,SUV,Manual,1,5668,Honda,2017,17.5,Petrol,30000,725000,Chennai,7
Amaze,Sedan,Manual,1,1168,Honda,2015,18,Petrol,18722,466000,Chennai,9
Seltos,SUV,Automatic,1,7122,Kia,2023,16.5,Petrol,5593,1864000,Chennai,1
Q3,SUV,Automatic,1,89,Audi,2017,15.73,Diesel,40000,2700000,Chennai,7
Celerio,Hatchback,Manual,1,8681,Maruti,2021,25.24,Petrol,20875,503000,Chennai,3
KWID,Hatchback,Manual,2,5093,Renault,2018,25.17,Petrol,46436,309000,Chennai,6
City,Sedan,Automatic,1,1217,Honda,2016,18,Petrol,127672,640000,Chennai,8
Venue,SUV,Manual,1,7931,Hyundai,2021,17.52,Petrol,12814,841000,Chennai,3
New,SUV,Manual,1,8305,Tata,2022,16.14,Diesel,26000,1889999,Chennai,2
i10,Hatchback,Manual,1,1568,Hyundai,2011,20.36,Petrol,45851,288000,Chennai,13
Venue,SUV,Manual,1,7924,Hyundai,2021,18,Petrol,36349,940000,Chennai,3
Polo,Hatchback,Automatic,1,1941,Volkswagen,2018,17.21,Petrol,35000,844999,Chennai,6
New,SUV,Automatic,1,8302,Tata,2021,14.08,Diesel,17059,2055999,Chennai,3
X5,SUV,Automatic,1,6940,BMW,2019,13.38,Diesel,37000,7700000,Chennai,5
Wagon,Hatchback,Manual,2,4310,Maruti,2016,20.51,Petrol,48163,400000,Chennai,8
Swift,Sedan,Manual,3,4238,Maruti,2013,19.1,Petrol,40000,425000,Chennai,11
Indigo,Sedan,Manual,2,2670,Tata,2008,17,Diesel,150000,200000,Chennai,16
Polo,Hatchback,Manual,1,7743,Volkswagen,2020,17.74,Petrol,20000,750000,Chennai,4
Creta,SUV,Automatic,1,6439,Hyundai,2019,17.6,Diesel,47000,1689999,Chennai,5
i10,Hatchback,Manual,1,1570,Hyundai,2013,20.36,Petrol,112711,310000,Chennai,11
Fortuner,SUV,Automatic,1,7618,Toyota,2020,15.04,Diesel,53000,3900000,Chennai,4
Celerio,Hatchback,Automatic,2,10358,Maruti,2016,26.68,Petrol,65895,437000,Chennai,8
XUV300,SUV,Automatic,1,8391,Mahindra,2022,17,Petrol,15625,1026000,Chennai,2
Swift,Hatchback,Manual,1,4165,Maruti,2015,25.2,Diesel,107595,560000,Chennai,9
Ignis,Hatchback,Manual,1,5553,Maruti,2017,20.89,Petrol,23838,532000,Chennai,7
