model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.612903226,0.222222222,1,1,0.933201118,2017,0.673340749,1,0.7156656,449000,0.2,0.157894737,19,2,1,4,747,1
0.290322581,0.888888889,1,1,0.670873524,2019,0.653318502,0.25,0.65743937,725000,0.2,0.105263158,9,8,1,1,1133,1
0.838709677,0.222222222,1,1,0.669431173,2021,0.543566926,1,0.677746965,495000,0.2,0.052631579,26,2,1,4,792,1
0.322580645,0.222222222,1,2,0.140899666,2011,0.492398962,1,0.73153655,271000,0.2,0.315789474,10,2,1,4,428,1
0.322580645,0.777777778,1,2,0.129541152,2017,0.46681498,0.25,0.708887437,940000,0.2,0.157894737,10,7,1,1,1343,1
0.290322581,0.888888889,1,1,0.654016046,2017,0.382647386,1,0.685906648,799000,0.2,0.157894737,9,8,1,4,1201,1
0.580645161,0.777777778,1,3,0.344090868,2014,0.297367445,0.25,0.727423076,700000,0.2,0.236842105,18,7,1,1,1109,1
0.322580645,0.888888889,1,2,0.163616695,2015,0.371523915,1,0.708887437,585000,0.2,0.210526316,10,8,1,4,926,1
0.322580645,0.777777778,1,2,0.693590553,2020,0.449017427,0.25,0.703324555,1445000,0.2,0.078947368,10,7,1,1,232,1
0.322580645,0.222222222,1,1,0.600468764,2018,0.490174268,1,0.714643553,451000,0.2,0.131578947,10,2,1,4,749,1
0.612903226,0.444444444,1,1,0.799062472,2021,0.449017427,0,0.718819507,1100000,0.2,0.052631579,19,4,1,0,127,1
0.322580645,0.222222222,1,1,0.133237177,2016,0.427141268,1,0.723072928,631000,0.2,0.184210526,10,2,1,4,1012,1
0.935483871,0.888888889,1,2,0.196971063,2012,0.390063033,1,0.743323533,411000,0.2,0.289473684,29,8,1,4,709,1
0.870967742,0.888888889,1,1,0.28188948,2015,0.521319985,0.25,0.735162137,500000,0.2,0.210526316,27,8,1,1,841,1
0.612903226,0.888888889,1,1,0.923014514,2014,0.568409344,1,0.711386577,488000,0.2,0.236842105,19,8,1,4,785,1
0.903225806,0.888888889,1,1,0.271161994,2015,0.588431591,0.25,0.727423076,460000,0.2,0.210526316,28,8,1,1,758,1
0.612903226,0.222222222,0,2,0.933471559,2018,0.701520208,1,0.653042757,514000,0.2,0.131578947,19,2,0,4,855,1
0.612903226,0.222222222,1,3,0.374921121,2014,0.67185762,0.25,0.713456154,508000,0.2,0.236842105,19,2,1,1,849,1
0.903225806,0.777777778,1,1,0.540250608,2018,0.53466815,0.25,0.699667341,865000,0.2,0.131578947,28,7,1,1,1279,1
0.612903226,0.888888889,0,2,0.590462454,2018,0.489432703,1,0.664227711,855000,0.2,0.131578947,19,8,0,4,1271,1
0.64516129,0.888888889,0,1,0.566032633,2020,0.238042269,0.25,0.615124022,118000,0.2,0.078947368,20,8,0,1,11,1
0.322580645,0.777777778,1,1,0.625439466,2019,0.616240267,0.25,0.695276051,925000,0.2,0.105263158,10,7,1,1,1334,1
